able	할 수 있는
clever	영리한
climb	오르다
clock	시계
close	닫다
cloth	천
cloud	구름
clown	광대
coach	감독
coast	해안
coat	외투
coffee	커피
coin	동전
cold	추운
collect	모으다
color	색
comb	빗
come	오다
comfort	위로하다
common	흔한
compare	비교하다
complete	완성하다
computer	컴퓨터
cook	요리하다
cool	시원한
copy	베끼다
corn	옥수수
corner	모퉁이
correct	옳은
cost	값이 들다
cotton	목화
cough	기침하다
count	세다
country	나라
couple	한 쌍
courage	용기
course	과정
cousin	사촌
cover	덮다
cow	소
crack	금이 가다
crane	두루미
crash	충돌하다
crawl	기다
crayon	크레용
crazy	미친
cream	크림
create	창조하다
cross	건너다
crowd	군중
crown	왕관
cruel	잔인한
cry	울다
cup	컵
curious	호기심 많은
curtain	커튼
curve	곡선
cushion	방석
customer	손님
cut	자르다
cute	귀여운
dad	아빠
daily	날마다의
damage	손해
dance	춤추다
danger	위험
dark	어두운
date	날짜
daughter	딸
dawn	새벽
day	날
dead	죽은
deaf	귀먹은
deal	거래
dear	친애하는
death	죽음
decide	결정하다
deep	깊은
deer	사슴
delay	미루다
delicious	맛있는
deliver	배달하다
dentist	치과의사
depend	의지하다
describe	묘사하다
desert	사막
design	설계하다
desk	책상
dessert	후식
destroy	파괴하다
develop	발전시키다
diamond	다이아몬드
diary	일기
dictionary	사전
die	죽다
different	다른
difficult	어려운
dig	파다
dinner	저녁 식사
direct	직접의
dirty	더러운
disappear	사라지다
discover	발견하다
disease	질병
dish	접시
distance	거리
divide	나누다
doctor	의사
dog	개
doll	인형
dollar	달러
donkey	당나귀
door	문
double	두 배의
doubt	의심하다
draw	그리다
dream	꿈
dress	옷
drink	마시다
drive	운전하다
drop	떨어뜨리다
drum	북
dry	마른
duck	오리
dust	먼지
duty	의무
each	각각의
eagle	독수리
ear	귀
early	이른
earn	벌다
earth	지구
east	동쪽
easy	쉬운
eat	먹다
edge	가장자리
education	교육
effort	노력
egg	달걀
eight	여덟
either	둘 중 하나
elbow	팔꿈치
elephant	코끼리
elevator	승강기
else	다른
empty	빈
end	끝
enemy	적
energy	에너지
engine	엔진
enjoy	즐기다
enough	충분한
enter	들어가다
envelope	봉투
equal	같은
escape	달아나다
evening	저녁
event	사건
ever	언젠가
every	모든
exact	정확한
example	보기
excellent	훌륭한
except	~을 제외하고
exchange	교환하다
excited	신이 난
excuse	용서하다
exercise	운동
exit	출구
expect	기대하다
expensive	비싼
explain	설명하다
explore	탐험하다
eye	눈
face	얼굴
fact	사실
factory	공장
fail	실패하다
fair	공정한
fall	떨어지다
false	거짓의
family	가족
famous	유명한
fan	선풍기
far	먼
farm	농장
fast	빠른
fat	뚱뚱한
father	아버지
fault	잘못
favorite	가장 좋아하는
fear	두려움
feather	깃털
feed	먹이다
feel	느끼다
fence	울타리
festival	축제
fever	열
few	몇 안 되는
field	들판
fight	싸우다
fill	채우다
film	영화
find	찾다
fine	좋은
finger	손가락
finish	끝내다
fire	불
fish	물고기
fist	주먹
fit	맞다
fix	고치다
flag	깃발
flame	불꽃
flat	평평한
float	뜨다
floor	바닥
flour	밀가루
flower	꽃
fly	날다
fog	안개
fold	접다
follow	따르다
food	음식
fool	바보
foot	발
football	축구
force	힘
forest	숲
forget	잊다
forgive	용서하다
fork	포크
form	형태
forward	앞으로
fountain	분수
fox	여우
frame	틀
free	자유로운
fresh	신선한
friend	친구
frighten	겁주다
frog	개구리
front	앞
fruit	과일
fry	튀기다
full	가득 찬
fun	재미
funny	우스운
fur	털
furniture	가구
future	미래
