pack	싸다
remove	치우다
repair	고치다
repeat	되풀이하다
reply	대답하다
report	보고하다
rescue	구조하다
rest	쉬다
restaurant	식당
result	결과
return	돌아오다
rice	쌀
rich	부유한
ride	타다
right	오른쪽
ring	반지
ripe	익은
rise	오르다
river	강
road	길
rob	훔치다
rock	바위
rocket	로켓
roll	구르다
roof	지붕
room	방
root	뿌리
rope	밧줄
rose	장미
rough	거친
round	둥근
row	줄
rub	문지르다
rubber	고무
rude	무례한
rule	규칙
run	달리다
rush	서두르다
sad	슬픈
safe	안전한
sail	항해하다
salt	소금
same	같은
sand	모래
save	구하다
say	말하다
scale	저울
school	학교
science	과학
scissors	가위
score	점수
scream	비명 지르다
sea	바다
search	찾다
season	계절
seat	자리
second	두 번째의
secret	비밀
see	보다
seed	씨앗
seem	~처럼 보이다
sell	팔다
send	보내다
sense	감각
sentence	문장
serious	진지한
serve	제공하다
seven	일곱
several	몇몇의
sew	바느질하다
shade	그늘
shadow	그림자
shake	흔들다
shall	~할 것이다
shame	부끄러움
shape	모양
share	나누다
sharp	날카로운
sheep	양
sheet	장
shelf	선반
shell	껍질
shine	빛나다
ship	배
shirt	셔츠
shoe	신발
shoot	쏘다
shop	가게
short	짧은
shoulder	어깨
shout	외치다
show	보여주다
shower	소나기
shut	닫다
shy	수줍은
sick	아픈
side	쪽
sight	시야
sign	표지
silent	조용한
silk	비단
silver	은
simple	간단한
since	~이후로
sing	노래하다
single	하나의
sink	가라앉다
sister	자매
sit	앉다
six	여섯
size	크기
skate	스케이트를 타다
ski	스키를 타다
skin	피부
skirt	치마
sky	하늘
sleep	자다
slide	미끄러지다
slow	느린
small	작은
smart	똑똑한
smell	냄새
smile	미소
smoke	연기
snake	뱀
snow	눈
soap	비누
soft	부드러운
soil	흙
soldier	군인
solve	풀다
some	약간의
son	아들
song	노래
soon	곧
sorry	미안한
sound	소리
soup	수프
sour	신
south	남쪽
space	공간
speak	말하다
speed	속도
spell	철자를 쓰다
spend	쓰다
spider	거미
spoon	숟가락
sport	운동
spot	점
spread	펴다
spring	봄
square	정사각형
stairs	계단
stamp	우표
stand	서다
star	별
start	시작하다
station	역
stay	머무르다
steal	훔치다
steam	증기
steel	강철
step	걸음
stick	막대기
still	여전히
stomach	위
stone	돌
stop	멈추다
store	가게
storm	폭풍
story	이야기
straight	곧은
strange	이상한
straw	빨대
street	거리
strong	강한
student	학생
study	공부하다
stupid	어리석은
subject	주제
subway	지하철
sugar	설탕
suit	정장
summer	여름
sun	해
supper	저녁 식사
support	지지하다
suppose	가정하다
sure	확실한
surprise	놀라게 하다
sweater	스웨터
sweep	쓸다
sweet	달콤한
swim	수영하다
sword	칼
table	탁자
tail	꼬리
tailor	재단사
take	가지다
talk	말하다
tall	키 큰
tape	테이프
taste	맛
taxi	택시
tea	차
teach	가르치다
team	팀
tear	눈물
teeth	이빨
telephone	전화
television	텔레비전
tell	말하다
temple	절
ten	열
tent	천막
terrible	끔찍한
test	시험
than	~보다
thank	감사하다
theater	극장
thick	두꺼운
thief	도둑
thin	얇은
thing	것
think	생각하다
thirsty	목마른
thread	실
throat	목구멍
throw	던지다
thumb	엄지
thunder	천둥
ticket	표
tide	조수
tidy	정돈된
tie	묶다
tiger	호랑이
time	시간
tiny	아주 작은
tired	피곤한
today	오늘
toe	발가락
together	함께
tomato	토마토
tomorrow	내일
tongue	혀
tonight	오늘 밤
tool	도구
tooth	이
top	꼭대기
touch	만지다
tour	여행
towel	수건
tower	탑
town	마을
toy	장난감
track	자취
trade	무역
traffic	교통
train	기차
travel	여행하다
tray	쟁반
treasure	보물
tree	나무
triangle	삼각형
trick	속임수
trip	여행
trouble	곤란
truck	트럭
true	참된
trust	믿다
truth	진실
try	해보다
tube	관
tunnel	터널
turn	돌다
turtle	거북
twice	두 번
twin	쌍둥이
type	종류
ugly	못생긴
umbrella	우산
uncle	삼촌
under	아래에
understand	이해하다
uniform	제복
union	연합
unit	단위
universe	우주
university	대학
until	~까지
upon	~위에
upper	위쪽의
upset	속상한
use	쓰다
useful	쓸모 있는
usual	보통의
vacation	방학
valley	골짜기
value	가치
various	여러 가지의
vase	꽃병
vegetable	채소
vehicle	탈것
very	매우
victory	승리
video	영상
view	경치
village	마을
violin	바이올린
visit	방문하다
voice	목소리
volcano	화산
vote	투표하다
voyage	항해
wait	기다리다
wake	깨다
walk	걷다
wall	벽
wallet	지갑
want	원하다
war	전쟁
warm	따뜻한
warn	경고하다
wash	씻다
waste	낭비하다
watch	보다
water	물
wave	물결
way	길
weak	약한
wealth	부
wear	입다
weather	날씨
wedding	결혼식
week	주
weight	무게
welcome	환영하다
well	잘
west	서쪽
wet	젖은
whale	고래
wheat	밀
wheel	바퀴
while	~하는 동안
whisper	속삭이다
whistle	휘파람
white	흰
whole	전체의
wide	넓은
wife	아내
wild	야생의
will	~할 것이다
win	이기다
wind	바람
window	창문
wine	포도주
wing	날개
winter	겨울
wipe	닦다
wire	철사
wise	현명한
wish	바라다
witch	마녀
without	~없이
wolf	늑대
woman	여자
wonder	궁금해하다
wood	나무
wool	양털
word	낱말
work	일하다
world	세계
worm	벌레
worry	걱정하다
worse	더 나쁜
worth	가치 있는
wound	상처
wrap	싸다
wrist	손목
write	쓰다
wrong	틀린
xenon	제논
xerox	복사하다
xylem	물관부
xylophone	실로폰
yacht	요트
yak	야크
yam	마
yard	마당
yarn	실
yawn	하품하다
year	해
yearn	그리워하다
yeast	효모
yell	소리치다
yellow	노란
yes	네
yesterday	어제
yet	아직
yield	내주다
yoga	요가
yogurt	요구르트
yoke	멍에
yolk	노른자
young	젊은
your	너의
youth	젊음
zebra	얼룩말
zero	영
zinc	아연
zip	잠그다
zipper	지퍼
zone	구역
zoo	동물원
